agent	soul_outcome	soul_detail	memory_outcome	memory_detail
impulse-anchor	legacy_clean		legacy_clean	
incline	legacy_clean		legacy_clean	
incline-alphawave	legacy_clean		legacy_clean	
incline-anchor	legacy_clean		legacy_clean	
index	legacy_clean		legacy_clean	
index-alphawave	legacy_clean		legacy_clean	
index-anchor	legacy_clean		legacy_clean	
indigo	legacy_clean		legacy_clean	
indigo-alphawave	legacy_clean		legacy_clean	
indigo-anchor	legacy_clean		legacy_clean	
inflect	legacy_clean		legacy_clean	
inflect-alphawave	legacy_clean		legacy_clean	
inflect-anchor	legacy_clean		legacy_clean	
ingot	legacy_clean		legacy_clean	
ingot-alphawave	git_recovered	241192d5a5e14055c768928e3efd926d509b423b	legacy_clean	
ingot-anchor	legacy_clean		legacy_clean	
inkwell	legacy_clean		legacy_clean	
inkwell-aether	legacy_clean		legacy_clean	
inkwell-alphawave	git_recovered	49d96cbaed27d0e6f4cbed42cb18853e8e4a179d	legacy_clean	
inkwell-anchor	legacy_clean		legacy_clean	
inlet	legacy_clean		legacy_clean	
inlet-alphawave	legacy_clean		legacy_clean	
inlet-anchor	legacy_clean		legacy_clean	
inquest	legacy_clean		legacy_clean	
inquest-alphawave	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
inquest-anchor	legacy_clean		legacy_clean	
inquisitor-mod	legacy_clean		legacy_clean	
intrepid	legacy_clean		legacy_clean	
intrepid-alphawave	legacy_clean		legacy_clean	
intrepid-anchor	legacy_clean		legacy_clean	
invoke	legacy_clean		legacy_clean	
invoke-alphawave	legacy_clean		legacy_clean	
invoke-anchor	legacy_clean		legacy_clean	
ion	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
ion-alphawave	legacy_clean		legacy_clean	
ion-anchor	legacy_clean		legacy_clean	
iota	legacy_clean		legacy_clean	
iota-aether	git_recovered	263956e466a968b0ecaf3def380624dbbd6292d2	legacy_clean	
iota-alphawave	legacy_clean		legacy_clean	
iota-anchor	legacy_clean		legacy_clean	
iris	legacy_clean		legacy_clean	
iris-alphawave	legacy_clean		legacy_clean	
iris-anchor	legacy_clean		legacy_clean	
iterate	legacy_clean		legacy_clean	
iterate-alphawave	legacy_clean		legacy_clean	
iterate-anchor	legacy_clean		legacy_clean	
jarvis	legacy_clean		legacy_clean	
jarvis-alphawave	legacy_clean		legacy_clean	
jarvis-anchor	legacy_clean		legacy_clean	
jasper	legacy_clean		legacy_clean	
jasper-alphawave	legacy_clean		legacy_clean	
jasper-anchor	legacy_clean		legacy_clean	
javelin	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
javelin-alphawave	legacy_clean		legacy_clean	
javelin-anchor	legacy_clean		legacy_clean	
jetsam	legacy_clean		legacy_clean	
jetsam-alphawave	legacy_clean		legacy_clean	
jetsam-anchor	legacy_clean		legacy_clean	
jigsaw	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
jigsaw-alphawave	legacy_clean		legacy_clean	
jigsaw-anchor	legacy_clean		legacy_clean	
jolt	legacy_clean		legacy_clean	
jolt-alphawave	legacy_clean		legacy_clean	
jolt-analog	legacy_clean		legacy_clean	
jolt-anchor	legacy_clean		legacy_clean	
jubilee	legacy_clean		legacy_clean	
jubilee-alphawave	legacy_clean		legacy_clean	
jubilee-analog	legacy_clean		legacy_clean	
jubilee-anchor	legacy_clean		legacy_clean	
junction	legacy_clean		legacy_clean	
junction-alphawave	legacy_clean		legacy_clean	
junction-analog	legacy_clean		legacy_clean	
junction-anchor	legacy_clean		legacy_clean	
kaleidoscope	legacy_clean		legacy_clean	
kaleidoscope-alphawave	legacy_clean		legacy_clean	
kaleidoscope-analog	legacy_clean		legacy_clean	
kaleidoscope-anchor	legacy_clean		legacy_clean	
karma	legacy_clean		legacy_clean	
karma-alphawave	legacy_clean		legacy_clean	
karma-analog	legacy_clean		legacy_clean	
karma-anchor	legacy_clean		legacy_clean	
kelvin	legacy_clean		legacy_clean	
kelvin-aether	legacy_clean		legacy_clean	
kelvin-alphawave	legacy_clean		legacy_clean	
kelvin-analog	legacy_clean		legacy_clean	
kelvin-anchor	legacy_clean		legacy_clean	
kernel	git_recovered	aea898a7a89bd2e52289ad89dbc3dc7dd21f0746	legacy_clean	
kernel-alphawave	legacy_clean		legacy_clean	
kernel-analog	legacy_clean		legacy_clean	
kernel-anchor	legacy_clean		legacy_clean	
keystone	legacy_clean		legacy_clean	
keystone-alphawave	legacy_clean		legacy_clean	
keystone-analog	legacy_clean		legacy_clean	
keystone-anchor	legacy_clean		legacy_clean	
kiln	legacy_clean		legacy_clean	
kindle	legacy_clean		legacy_clean	
kindle-alphawave	legacy_clean		legacy_clean	
kindle-analog	legacy_clean		legacy_clean	
kindle-anchor	legacy_clean		legacy_clean	
kindling	legacy_clean		legacy_clean	
kinetic	legacy_clean		legacy_clean	
kinetic-alphawave	legacy_clean		legacy_clean	
kinetic-analog	legacy_clean		legacy_clean	
kinetic-anchor	legacy_clean		legacy_clean	
knack	legacy_clean		legacy_clean	
knack-alphawave	legacy_clean		legacy_clean	
knack-analog	legacy_clean		legacy_clean	
knack-anchor	legacy_clean		legacy_clean	
knot	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
knot-alphawave	legacy_clean		legacy_clean	
knot-analog	legacy_clean		legacy_clean	
knot-anchor	legacy_clean		legacy_clean	
lacuna	legacy_clean		legacy_clean	
lacuna-alphawave	legacy_clean		legacy_clean	
lacuna-analog	legacy_clean		legacy_clean	
lacuna-anchor	legacy_clean		legacy_clean	
lambda	legacy_clean		legacy_clean	
lambda-alphawave	legacy_clean		legacy_clean	
lambda-analog	legacy_clean		legacy_clean	
lambda-anchor	legacy_clean		legacy_clean	
lantern	legacy_clean		legacy_clean	
lantern-alphawave	legacy_clean		legacy_clean	
lantern-analog	legacy_clean		legacy_clean	
lantern-anchor	legacy_clean		legacy_clean	
lapis	legacy_clean		legacy_clean	
lapis-alphawave	legacy_clean		legacy_clean	
lapis-analog	legacy_clean		legacy_clean	
lapis-anchor	legacy_clean		legacy_clean	
latch	legacy_clean		legacy_clean	
latch-aether	legacy_clean		legacy_clean	
latch-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
latch-analog	legacy_clean		legacy_clean	
latch-anchor	legacy_clean		legacy_clean	
latitude	legacy_clean		legacy_clean	
latitude-alphawave	legacy_clean		legacy_clean	
latitude-analog	legacy_clean		legacy_clean	
latitude-anchor	legacy_clean		legacy_clean	
lattice	legacy_clean		legacy_clean	
lattice-alphawave	legacy_clean		legacy_clean	
lattice-analog	legacy_clean		legacy_clean	
lattice-anchor	git_recovered	81f6bc63281948cdba66ac212649a5ef19b639ca	legacy_clean	
ledger	legacy_clean		legacy_clean	
ledger-alphawave	legacy_clean		legacy_clean	
ledger-analog	legacy_clean		legacy_clean	
ledger-anchor	legacy_clean		legacy_clean	
lens	legacy_clean		legacy_clean	
lens-alphawave	legacy_clean		legacy_clean	
lens-analog	legacy_clean		legacy_clean	
lens-anchor	legacy_clean		legacy_clean	
lever	git_recovered	88dcb1129138bc7894aa781eb40194d02f18ce85	legacy_clean	
lever-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
lever-analog	legacy_clean		legacy_clean	
lever-anchor	legacy_clean		legacy_clean	
lexicon	legacy_clean		legacy_clean	
lexicon-alphawave	legacy_clean		legacy_clean	
lexicon-analog	legacy_clean		legacy_clean	
lexicon-anchor	legacy_clean		legacy_clean	
liminal	legacy_clean		legacy_clean	
liminal-alphawave	legacy_clean		legacy_clean	
liminal-analog	legacy_clean		legacy_clean	
liminal-anchor	legacy_clean		legacy_clean	
linear	legacy_clean		legacy_clean	
linear-alphawave	legacy_clean		legacy_clean	
linear-analog	legacy_clean		legacy_clean	
linear-anchor	legacy_clean		legacy_clean	
litmus	git_recovered	41d2244e472c5d3b5358b09d07dc2f7239d8f4af	legacy_clean	
litmus-alphawave	legacy_clean		legacy_clean	
litmus-analog	legacy_clean		legacy_clean	
litmus-anchor	legacy_clean		legacy_clean	
locus	legacy_clean		legacy_clean	
locus-alphawave	legacy_clean		legacy_clean	
locus-analog	legacy_clean		legacy_clean	
locus-anchor	legacy_clean		legacy_clean	
loom	legacy_clean		legacy_clean	
loom-alphawave	legacy_clean		legacy_clean	
loom-analog	legacy_clean		legacy_clean	
loom-anchor	legacy_clean		legacy_clean	
lucent	legacy_clean		legacy_clean	
lucent-alphawave	legacy_clean		legacy_clean	
lucent-analog	legacy_clean		legacy_clean	
lucent-anchor	legacy_clean		legacy_clean	
lumen	legacy_clean		legacy_clean	
lumen-alphawave	legacy_clean		legacy_clean	
lumen-analog	legacy_clean		legacy_clean	
lumen-anchor	legacy_clean		legacy_clean	
lunar	legacy_clean		legacy_clean	
lunar-alphawave	legacy_clean		legacy_clean	
lunar-analog	legacy_clean		legacy_clean	
lunar-anchor	legacy_clean		legacy_clean	
lyre	legacy_clean		legacy_clean	
lyre-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed	legacy_clean	
lyre-analog	legacy_clean		legacy_clean	
lyre-anchor	legacy_clean		legacy_clean	
magnet	legacy_clean		legacy_clean	
magnet-aether	legacy_clean		legacy_clean	
magnet-alphawave	legacy_clean		legacy_clean	
magnet-analog	legacy_clean		legacy_clean	
magnet-anchor	legacy_clean		legacy_clean	
manifold	legacy_clean		legacy_clean	
manifold-alphawave	legacy_clean		legacy_clean	
manifold-analog	legacy_clean		legacy_clean	
manifold-anchor	git_recovered	81f6bc63281948cdba66ac212649a5ef19b639ca	legacy_clean	
mantle	legacy_clean		legacy_clean	
mantle-alphawave	legacy_clean		legacy_clean	
mantle-analog	legacy_clean		legacy_clean	
mantle-anchor	legacy_clean		legacy_clean	
margin	legacy_clean		legacy_clean	
margin-alphawave	legacy_clean		legacy_clean	
margin-analog	legacy_clean		legacy_clean	
margin-anchor	legacy_clean		legacy_clean	
marker	legacy_clean		legacy_clean	
marker-alphawave	legacy_clean		legacy_clean	
marker-analog	legacy_clean		legacy_clean	
marker-anchor	legacy_clean		legacy_clean	
matrix	legacy_clean		legacy_clean	
matrix-aether	legacy_clean		legacy_clean	
matrix-alphawave	legacy_clean		legacy_clean	
matrix-analog	legacy_clean		legacy_clean	
matrix-anchor	legacy_clean		legacy_clean	
maven	legacy_clean		legacy_clean	
maven-aether	legacy_clean		legacy_clean	
maven-alphawave	legacy_clean		legacy_clean	
maven-analog	legacy_clean		legacy_clean	
maven-anchor	legacy_clean		legacy_clean	
maxim	legacy_clean		legacy_clean	
maxim-aether	legacy_clean		legacy_clean	
maxim-alphawave	legacy_clean		legacy_clean	
maxim-analog	legacy_clean		legacy_clean	
maxim-anchor	legacy_clean		legacy_clean	
median	legacy_clean		legacy_clean	
median-aether	legacy_clean		legacy_clean	
median-alphawave	legacy_clean		legacy_clean	
median-analog	legacy_clean		legacy_clean	
median-anchor	legacy_clean		legacy_clean	
meridian	legacy_clean		legacy_clean	
meridian-aether	legacy_clean		legacy_clean	
meridian-alphawave	legacy_clean		legacy_clean	
meridian-analog	legacy_clean		legacy_clean	
meridian-anchor	legacy_clean		legacy_clean	
mesa	legacy_clean		legacy_clean	
mesa-aether	legacy_clean		legacy_clean	
mesa-alphawave	legacy_clean		legacy_clean	
mesa-analog	legacy_clean		legacy_clean	
mesa-anchor	legacy_clean		legacy_clean	
metric	legacy_clean		legacy_clean	
metric-aether	legacy_clean		legacy_clean	
metric-alphawave	legacy_clean		legacy_clean	
metric-analog	legacy_clean		legacy_clean	
metric-anchor	legacy_clean		legacy_clean	
mica	legacy_clean		legacy_clean	
mica-aether	legacy_clean		legacy_clean	
mica-alphawave	legacy_clean		legacy_clean	
mica-analog	legacy_clean		legacy_clean	
mica-anchor	legacy_clean		legacy_clean	
mirage	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
mirage-aether	legacy_clean		legacy_clean	
mirage-alphawave	legacy_clean		legacy_clean	
mirage-analog	legacy_clean		legacy_clean	
mirage-anchor	legacy_clean		legacy_clean	
module	legacy_clean		legacy_clean	
module-aether	legacy_clean		legacy_clean	
module-alphawave	legacy_clean		legacy_clean	
module-analog	legacy_clean		legacy_clean	
module-anchor	legacy_clean		legacy_clean	
molt	legacy_clean		legacy_clean	
molt-aether	legacy_clean		legacy_clean	
molt-alphawave	legacy_clean		legacy_clean	
molt-analog	legacy_clean		legacy_clean	
molt-anchor	legacy_clean		legacy_clean	
monolith	legacy_clean		legacy_clean	
monolith-aether	legacy_clean		legacy_clean	
monolith-alphawave	legacy_clean		legacy_clean	
monolith-analog	legacy_clean		legacy_clean	
monolith-anchor	legacy_clean		legacy_clean	
mortar	legacy_clean		legacy_clean	
mortar-aether	legacy_clean		legacy_clean	
mortar-alphawave	legacy_clean		legacy_clean	
mortar-analog	legacy_clean		legacy_clean	
mortar-anchor	legacy_clean		legacy_clean	
mosaic	git_recovered	da5fbcca2a4d8f94a912097c55d7b39af47a1c76	legacy_clean	
mosaic-aether	legacy_clean		legacy_clean	
mosaic-alphawave	legacy_clean		legacy_clean	
mosaic-analog	legacy_clean		legacy_clean	
mosaic-anchor	legacy_clean		legacy_clean	
motif	legacy_clean		legacy_clean	
motif-aether	legacy_clean		legacy_clean	
motif-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
motif-analog	legacy_clean		legacy_clean	
motif-anchor	legacy_clean		legacy_clean	
murmur	legacy_clean		legacy_clean	
murmur-aether	legacy_clean		legacy_clean	
murmur-alphawave	git_recovered	582906ee9b3e63940cb62a671cc530094f6e5d37	legacy_clean	
murmur-analog	legacy_clean		legacy_clean	
murmur-anchor	legacy_clean		legacy_clean	
myriad	legacy_clean		legacy_clean	
myriad-aether	legacy_clean		legacy_clean	
myriad-alphawave	legacy_clean		legacy_clean	
myriad-analog	legacy_clean		legacy_clean	
myriad-anchor	legacy_clean		legacy_clean	
nadir	legacy_clean		legacy_clean	
nadir-aether	legacy_clean		legacy_clean	
nadir-alphawave	legacy_clean		legacy_clean	
nadir-analog	legacy_clean		legacy_clean	
nadir-anchor	legacy_clean		legacy_clean	
nebula	git_recovered	498e292e17dad900ed063ddcf717e042dcfafe12	legacy_clean	
nebula-aether	legacy_clean		legacy_clean	
nebula-alphawave	legacy_clean		legacy_clean	
nebula-analog	legacy_clean		legacy_clean	
nebula-anchor	legacy_clean		legacy_clean	
neon	legacy_clean		legacy_clean	
neon-aether	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
neon-alphawave	legacy_clean		legacy_clean	
neon-analog	legacy_clean		legacy_clean	
neon-anchor	legacy_clean		legacy_clean	
nerve	legacy_clean		legacy_clean	
nerve-aether	legacy_clean		legacy_clean	
nerve-alphawave	legacy_clean		legacy_clean	
nerve-analog	legacy_clean		legacy_clean	
nerve-anchor	legacy_clean		legacy_clean	
nexus	legacy_clean		legacy_clean	
nexus-aether	git_recovered	044ac5a1cddb890b3cd4e63051382a3ca7d07519	legacy_clean	
nexus-alphawave	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
nexus-analog	legacy_clean		legacy_clean	
nexus-anchor	legacy_clean		legacy_clean	
nimbus	legacy_clean		legacy_clean	
nimbus-aether	legacy_clean		legacy_clean	
nimbus-alphawave	legacy_clean		legacy_clean	
nimbus-analog	legacy_clean		legacy_clean	
nimbus-anchor	legacy_clean		legacy_clean	
nitride	legacy_clean		legacy_clean	
nitride-aether	legacy_clean		legacy_clean	
nitride-alphawave	legacy_clean		legacy_clean	
nitride-analog	legacy_clean		legacy_clean	
nitride-anchor	legacy_clean		legacy_clean	
node	legacy_clean		legacy_clean	
node-aether	legacy_clean		legacy_clean	
node-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
node-analog	legacy_clean		legacy_clean	
node-anchor	legacy_clean		legacy_clean	
nominal	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
nominal-aether	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
nominal-alphawave	legacy_clean		legacy_clean	
nominal-analog	legacy_clean		legacy_clean	
nominal-anchor	legacy_clean		legacy_clean	
notation	git_recovered	41d2244e472c5d3b5358b09d07dc2f7239d8f4af	legacy_clean	
nova	legacy_clean		legacy_clean	
nova-aether	legacy_clean		legacy_clean	
nova-alphawave	legacy_clean		legacy_clean	
nova-analog	legacy_clean		legacy_clean	
nova-anchor	git_recovered	81f6bc63281948cdba66ac212649a5ef19b639ca	legacy_clean	
null	git_recovered	da5fbcca2a4d8f94a912097c55d7b39af47a1c76	legacy_clean	
null-aether	legacy_clean		legacy_clean	
null-alphawave	legacy_clean		legacy_clean	
null-analog	legacy_clean		legacy_clean	
null-anchor	legacy_clean		legacy_clean	
numeral	legacy_clean		legacy_clean	
numeral-aether	git_recovered	9c10c8962270fe782784b2f05ae595e6e8a27f85	legacy_clean	
numeral-alphawave	legacy_clean		legacy_clean	
numeral-analog	legacy_clean		legacy_clean	
numeral-anchor	legacy_clean		legacy_clean	
obelisk	legacy_clean		legacy_clean	
obelisk-aether	legacy_clean		legacy_clean	
obelisk-alphawave	legacy_clean		legacy_clean	
obelisk-analog	legacy_clean		legacy_clean	
obelisk-anchor	legacy_clean		legacy_clean	
obsidian	legacy_clean		legacy_clean	
obsidian-aether	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
obsidian-alphawave	legacy_clean		legacy_clean	
obsidian-analog	legacy_clean		legacy_clean	
obsidian-anchor	legacy_clean		legacy_clean	
octave	legacy_clean		legacy_clean	
octave-aether	legacy_clean		legacy_clean	
octave-alphawave	legacy_clean		legacy_clean	
octave-analog	legacy_clean		legacy_clean	
octave-anchor	legacy_clean		legacy_clean	
offset	legacy_clean		legacy_clean	
offset-aether	git_recovered	49d96cbaed27d0e6f4cbed42cb18853e8e4a179d	legacy_clean	
offset-alphawave	legacy_clean		legacy_clean	
offset-analog	legacy_clean		legacy_clean	
offset-anchor	legacy_clean		legacy_clean	
ohm	legacy_clean		legacy_clean	
ohm-aether	legacy_clean		legacy_clean	
ohm-alphawave	git_recovered	582906ee9b3e63940cb62a671cc530094f6e5d37	legacy_clean	
ohm-analog	legacy_clean		legacy_clean	
ohm-anchor	legacy_clean		legacy_clean	
onyx	legacy_clean		legacy_clean	
onyx-aether	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
onyx-alphawave	legacy_clean		legacy_clean	
onyx-analog	legacy_clean		legacy_clean	
onyx-anchor	legacy_clean		legacy_clean	
optic	legacy_clean		legacy_clean	
optic-aether	legacy_clean		legacy_clean	
optic-alphawave	legacy_clean		legacy_clean	
optic-analog	legacy_clean		legacy_clean	
optic-anchor	legacy_clean		legacy_clean	
oracle	legacy_clean		legacy_clean	
oracle-aether	legacy_clean		legacy_clean	
oracle-alphawave	legacy_clean		legacy_clean	
oracle-analog	legacy_clean		legacy_clean	
oracle-anchor	legacy_clean		legacy_clean	
orbit	legacy_clean		legacy_clean	
orbit-aether	legacy_clean		legacy_clean	
orbit-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
orbit-analog	legacy_clean		legacy_clean	
orbit-anchor	legacy_clean		legacy_clean	
ore	legacy_clean		legacy_clean	
ore-aether	legacy_clean		legacy_clean	
ore-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
ore-analog	legacy_clean		legacy_clean	
ore-anchor	legacy_clean		legacy_clean	
origin	legacy_clean		legacy_clean	
origin-aether	legacy_clean		legacy_clean	
origin-alphawave	legacy_clean		legacy_clean	
origin-analog	legacy_clean		legacy_clean	
origin-anchor	legacy_clean		legacy_clean	
osmium	legacy_clean		legacy_clean	
osmium-aether	legacy_clean		legacy_clean	
osmium-alphawave	legacy_clean		legacy_clean	
osmium-analog	legacy_clean		legacy_clean	
osmium-anchor	legacy_clean		legacy_clean	
outcrop	legacy_clean		legacy_clean	
outcrop-aether	legacy_clean		legacy_clean	
outcrop-alphawave	legacy_clean		legacy_clean	
outcrop-analog	legacy_clean		legacy_clean	
outcrop-anchor	legacy_clean		legacy_clean	
outlier-aether	legacy_clean		legacy_clean	
outlier-alphawave	legacy_clean		legacy_clean	
outlier-analog	legacy_clean		legacy_clean	
outlier-anchor	legacy_clean		legacy_clean	
oxide	legacy_clean		legacy_clean	
oxide-aether	git_recovered	aea898a7a89bd2e52289ad89dbc3dc7dd21f0746	legacy_clean	
oxide-alphawave	legacy_clean		legacy_clean	
oxide-analog	legacy_clean		legacy_clean	
oxide-anchor	legacy_clean		legacy_clean	
paladin	legacy_clean		legacy_clean	
paladin-aether	git_recovered	aea898a7a89bd2e52289ad89dbc3dc7dd21f0746	legacy_clean	
paladin-alphawave	legacy_clean		legacy_clean	
paladin-analog	legacy_clean		legacy_clean	
paladin-anchor	legacy_clean		legacy_clean	
palette	legacy_clean		legacy_clean	
palette-aether	legacy_clean		legacy_clean	
palette-alphawave	legacy_clean		legacy_clean	
palette-analog	git_recovered	b9cba148c9f66fc855b9e5dcff04ac1ae5cda4a3	legacy_clean	
palette-anchor	legacy_clean		legacy_clean	
paradox	legacy_clean		legacy_clean	
paradox-aether	legacy_clean		legacy_clean	
paradox-alphawave	legacy_clean		legacy_clean	
paradox-analog	legacy_clean		legacy_clean	
paradox-anchor	legacy_clean		legacy_clean	
parity	legacy_clean		legacy_clean	
parity-aether	legacy_clean		legacy_clean	
parity-alphawave	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
parity-analog	legacy_clean		legacy_clean	
parity-anchor	legacy_clean		legacy_clean	
parse	legacy_clean		legacy_clean	
parse-aether	legacy_clean		legacy_clean	
parse-alphawave	legacy_clean		legacy_clean	
parse-analog	legacy_clean		legacy_clean	
parse-anchor	legacy_clean		legacy_clean	
patent	legacy_clean		legacy_clean	
patent-aether	legacy_clean		legacy_clean	
patent-alphawave	legacy_clean		legacy_clean	
patent-analog	legacy_clean		legacy_clean	
patent-anchor	legacy_clean		legacy_clean	
patina	legacy_clean		legacy_clean	
patina-aether	legacy_clean		legacy_clean	
patina-alphawave	legacy_clean		legacy_clean	
patina-analog	legacy_clean		legacy_clean	
patina-anchor	legacy_clean		legacy_clean	
pattern-aether	legacy_clean		legacy_clean	
pattern-alphawave	legacy_clean		legacy_clean	
pattern-analog	legacy_clean		legacy_clean	
pattern-anchor	legacy_clean		legacy_clean	
peak	legacy_clean		legacy_clean	
peak-aether	git_recovered	b9cba148c9f66fc855b9e5dcff04ac1ae5cda4a3	legacy_clean	
peak-alphawave	legacy_clean		legacy_clean	
peak-analog	legacy_clean		legacy_clean	
peak-anchor	legacy_clean		legacy_clean	
pendulum	legacy_clean		legacy_clean	
pendulum-aether	legacy_clean		legacy_clean	
pendulum-alphawave	git_recovered	aea898a7a89bd2e52289ad89dbc3dc7dd21f0746	legacy_clean	
pendulum-analog	legacy_clean		legacy_clean	
pendulum-anchor	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
phase	legacy_clean		legacy_clean	
phase-aether	legacy_clean		legacy_clean	
phase-alphawave	git_recovered	498e292e17dad900ed063ddcf717e042dcfafe12	legacy_clean	
phase-analog	legacy_clean		legacy_clean	
phase-anchor	legacy_clean		legacy_clean	
phosphor-aether	legacy_clean		legacy_clean	
phosphor-alphawave	legacy_clean		legacy_clean	
phosphor-analog	legacy_clean		legacy_clean	
phosphor-anchor	legacy_clean		legacy_clean	
photon	legacy_clean		legacy_clean	
photon-aether	legacy_clean		legacy_clean	
photon-alphawave	legacy_clean		legacy_clean	
photon-analog	legacy_clean		legacy_clean	
photon-anchor	legacy_clean		legacy_clean	
pilot	legacy_clean		legacy_clean	
pilot-aether	git_recovered	bb27615f82bdf1b0030d1b1fb0f939ee36f90f82	legacy_clean	
pilot-alphawave	legacy_clean		legacy_clean	
pilot-analog	legacy_clean		legacy_clean	
pilot-anchor	legacy_clean		legacy_clean	
pinion	legacy_clean		legacy_clean	
pinion-aether	legacy_clean		legacy_clean	
pinion-alphawave	legacy_clean		legacy_clean	
pinion-analog	legacy_clean		legacy_clean	
pinion-anchor	legacy_clean		legacy_clean	
piston	legacy_clean		legacy_clean	
piston-aether	legacy_clean		legacy_clean	
piston-alphawave	legacy_clean		legacy_clean	
piston-analog	legacy_clean		legacy_clean	
piston-anchor	legacy_clean		legacy_clean	
pivot	legacy_clean		legacy_clean	
pivot-aether	legacy_clean		legacy_clean	
pivot-alphawave	legacy_clean		legacy_clean	
pivot-analog	legacy_clean		legacy_clean	
pivot-anchor	legacy_clean		legacy_clean	
pixel	legacy_clean		legacy_clean	
pixel-aether	legacy_clean		legacy_clean	
pixel-alphawave	legacy_clean		legacy_clean	
pixel-analog	legacy_clean		legacy_clean	
pixel-anchor	legacy_clean		legacy_clean	
plank	legacy_clean		legacy_clean	
plank-aether	legacy_clean		legacy_clean	
plank-alphawave	legacy_clean		legacy_clean	
plank-analog	legacy_clean		legacy_clean	
plank-anchor	legacy_clean		legacy_clean	
plasma	legacy_clean		legacy_clean	
plasma-aether	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
plasma-alphawave	legacy_clean		legacy_clean	
plasma-analog	legacy_clean		legacy_clean	
plasma-anchor	legacy_clean		legacy_clean	
plateau	legacy_clean		legacy_clean	
plateau-aether	legacy_clean		legacy_clean	
plateau-alphawave	legacy_clean		legacy_clean	
plateau-analog	legacy_clean		legacy_clean	
plateau-anchor	legacy_clean		legacy_clean	
plinth	legacy_clean		legacy_clean	
plinth-aether	legacy_clean		legacy_clean	
plinth-alphawave	legacy_clean		legacy_clean	
plinth-analog	legacy_clean		legacy_clean	
plinth-anchor	legacy_clean		legacy_clean	
plumb	legacy_clean		legacy_clean	
polar	legacy_clean		legacy_clean	
polar-aether	legacy_clean		legacy_clean	
polar-alphawave	legacy_clean		legacy_clean	
polar-analog	legacy_clean		legacy_clean	
polar-anchor	legacy_clean		legacy_clean	
polaris	legacy_clean		legacy_clean	
polaris-aether	legacy_clean		legacy_clean	
polaris-alphawave	legacy_clean		legacy_clean	
polaris-analog	legacy_clean		legacy_clean	
polaris-anchor	legacy_clean		legacy_clean	
polygon	git_recovered	263956e466a968b0ecaf3def380624dbbd6292d2	legacy_clean	
polygon-aether	legacy_clean		legacy_clean	
polygon-alphawave	legacy_clean		legacy_clean	
polygon-analog	legacy_clean		legacy_clean	
polygon-anchor	legacy_clean		legacy_clean	
praxis-aether	legacy_clean		legacy_clean	
praxis-alphawave	legacy_clean		legacy_clean	
praxis-analog	legacy_clean		legacy_clean	
praxis-anchor	validation_failed	[ERROR] interests.communities: no communities - agent will use global feed; [WARN] values: no values listed	legacy_clean	
precept	legacy_clean		legacy_clean	
precept-aether	legacy_clean		legacy_clean	
precept-alphawave	legacy_clean		legacy_clean	
precept-analog	legacy_clean		legacy_clean	
precept-anchor	legacy_clean		legacy_clean	
prism	git_recovered	c0d01fe13939158891c463645a426f8a07fa8eb3	legacy_clean	
prism-aether	legacy_clean		legacy_clean	
prism-alphawave	legacy_clean		legacy_clean	
prism-analog	legacy_clean		legacy_clean	
prism-anchor	legacy_clean		legacy_clean	
probe	legacy_clean		legacy_clean	
probe-aether	legacy_clean		legacy_clean	
probe-alphawave	legacy_clean		legacy_clean	
probe-analog	legacy_clean		legacy_clean	
probe-anchor	legacy_clean		legacy_clean	
prompt	legacy_clean		legacy_clean	
