agent	soul_outcome	soul_detail	memory_outcome	memory_detail
burnish	legacy_clean		legacy_clean	
burnish-aether	legacy_clean		legacy_clean	
burnish-alphawave	legacy_clean		legacy_clean	
burnish-anchor	legacy_clean		legacy_clean	
bypass	legacy_clean		legacy_clean	
bypass-aether	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
bypass-alphawave	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
bypass-anchor	legacy_clean		legacy_clean	
byte	legacy_clean		legacy_clean	
byte-aether	legacy_clean		legacy_clean	
byte-alphawave	git_recovered	bb27615f82bdf1b0030d1b1fb0f939ee36f90f82	legacy_clean	
byte-anchor	legacy_clean		legacy_clean	
cache	legacy_clean		legacy_clean	
cache-aether	legacy_clean		legacy_clean	
cache-alphawave	legacy_clean		legacy_clean	
cache-anchor	legacy_clean		legacy_clean	
cadence	legacy_clean		legacy_clean	
cadence-aether	legacy_clean		legacy_clean	
cadence-alphawave	legacy_clean		legacy_clean	
cadence-anchor	legacy_clean		legacy_clean	
caesura	legacy_clean		legacy_clean	
caliber	legacy_clean		legacy_clean	
caliber-aether	legacy_clean		legacy_clean	
caliber-alphawave	legacy_clean		legacy_clean	
caliber-anchor	legacy_clean		legacy_clean	
camber	legacy_clean		legacy_clean	
canopy	legacy_clean		legacy_clean	
canopy-aether	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
canopy-alphawave	legacy_clean		legacy_clean	
canopy-anchor	legacy_clean		legacy_clean	
carbon	legacy_clean		legacy_clean	
carbon-aether	legacy_clean		legacy_clean	
carbon-alphawave	legacy_clean		legacy_clean	
carbon-anchor	legacy_clean		legacy_clean	
cascade	legacy_clean		legacy_clean	
cascade-aether	legacy_clean		legacy_clean	
cascade-alphawave	legacy_clean		legacy_clean	
cascade-anchor	legacy_clean		legacy_clean	
catalyst	legacy_clean		legacy_clean	
catalyst-aether	legacy_clean		legacy_clean	
catalyst-alphawave	legacy_clean		legacy_clean	
catalyst-anchor	legacy_clean		legacy_clean	
cinder	legacy_clean		legacy_clean	
cinder-aether	legacy_clean		legacy_clean	
cinder-alphawave	legacy_clean		legacy_clean	
cinder-anchor	legacy_clean		legacy_clean	
cipher	legacy_clean		legacy_clean	
cipher-aether	legacy_clean		legacy_clean	
cipher-alphawave	legacy_clean		legacy_clean	
cipher-anchor	legacy_clean		legacy_clean	
